Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,1.30547e+11,1.10051e+11,1.21711e+11,75105000000.0,57600000000.0,61133000000.0,0.0,0.0,0.0,74954000000.0
Short-term investments,1480000000.0,2200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cash and short-term investments,1.32027e+11,1.12251e+11,1.21711e+11,75105000000.0,57600000000.0,61133000000.0,0.0,0.0,0.0,
Receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67900000000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,1.32027e+11,1.12251e+11,1.21711e+11,75105000000.0,57600000000.0,61133000000.0,0.0,0.0,0.0,
Property Plant & Equipment Net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,1.1989e+11,99260000000.0,1.1056e+11,68640000000.0,51810000000.0,0.0,0.0,0.0,0.0,
Tax assets,2722000000.0,3174000000.0,5222000000.0,5931000000.0,5794000000.0,5797000000.0,6296000000.0,0.0,0.0,0.0
Total non-current assets,7.99769e+11,8.04525e+11,7.38454e+11,7.8629e+11,7.9864e+11,-61133000000.0,0.0,0.0,0.0,
Total assets,9.31796e+11,9.16776e+11,8.60165e+11,8.61395e+11,8.5624e+11,0.0,0.0,0.0,0.0,848942000000.0
Payables,6219000000.0,5433000000.0,4220000000.0,8355000000.0,4751000000.0,0.0,0.0,0.0,0.0,185634000000.0
Short-term debt,27476000000.0,30090000000.0,23528000000.0,57020000000.0,60100000000.0,61982000000.0,0.0,0.0,0.0,
Total current liabilities,34746000000.0,36188000000.0,28600000000.0,66200000000.0,65722000000.0,63747000000.0,2237000000.0,1887000000.0,2081000000.0,
Long-term debt,2.24149e+11,2.17687e+11,1.89086e+11,1.75422e+11,1.67571e+11,1.60965e+11,1.67305e+11,1.73545e+11,1.74399e+11,
Total debt,2.51625e+11,2.47777e+11,2.12614e+11,2.32442e+11,2.27671e+11,2.22947e+11,1.67305e+11,1.73545e+11,1.74399e+11,519321000000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,1051000000.0,665000000.0,852000000.0,825000000.0,871000000.0,1765000000.0,2237000000.0,1887000000.0,2081000000.0,0.0
Deposit Liabilities,1.58257e+11,1.38604e+11,1.24098e+11,97519000000.0,83008000000.0,0.0,0.0,0.0,0.0,39418000000.0
Total non-current liabilities,2.26519e+11,2.22549e+11,1.90628e+11,1.77529e+11,1.69153e+11,1.62302e+11,1.6862e+11,1.73545e+11,1.74399e+11,
Total liabilities,8.41611e+11,8.34533e+11,7.73272e+11,7.74667e+11,7.73443e+11,2.26049e+11,1.70857e+11,1.75432e+11,1.7648e+11,778228000000.0
Other comprehensive income,0.0,0.0,0.0,4051000000,4547000000,0.0,0.0,0.0,0.0,-362000000.0
Retained earnings (deficit),1.001e+11,91519000000.0,89039000000.0,83386000000.0,78984000000.0,0.0,0.0,0.0,0.0,50252000000.0
Total shareholders equity,90185000000.0,82243000000.0,86893000000.0,86728000000.0,82797000000.0,-2.26049e+11,-1.70857e+11,-1.75432e+11,-1.7648e+11,70714000000.0
Investments,1.2137e+11,1.0146e+11,1.1056e+11,68640000000.0,51810000000.0,0.0,0.0,0.0,0.0,676620000000.0
Net Debt,1.21078e+11,1.37726e+11,90903000000.0,1.57337e+11,1.70071e+11,1.61814e+11,1.67305e+11,1.73545e+11,1.74399e+11,
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Other Liabilities,5.80346e+11,5.75796e+11,5.54044e+11,5.30938e+11,5.38568e+11,0.0,0.0,0.0,0.0,
