Date,2019-12-28,2018-12-29,2017-12-30,2016-12-31,2016-01-02
Depreciation & Amortization,222200000.0,218500000.0,212200000.0,240800000.0,269900000.0
Stock-based compensation,15000000.0,6000000.0,5400000.0,4200000.0,4300000.0
Operating Cash Flow,348900000.0,313500000.0,319900000.0,376700000.0,275900000.0
Capital Expenditure,72100000.0,-164800000.0,-98800000.0,-53800000.0,-75800000.0
Acquisitions and disposals,-0.0,-50900000.0,-110700000.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-78000000.0,-243600000.0,-227000000.0,-67900000.0,-60500000.0
Issuance (repayment) of debt,-593100000.0,-960500000.0,-51000000.0,-67200000.0,-51700000.0
Issuance (buybacks) of shares,1800000.0,799700000.0,-1000000.0,-900000.0,10700000.0
Dividend payments,-28800000.0,0.0,0.0,0.0,0.0
Financing Cash Flow,-59300000.0,-198900000.0,-75300000.0,-110800000.0,-73900000.0
Effect of forex changes on cash,400000.0,-12400000.0,19600000.0,-9400000.0,-14200000.0
Net cash flow / Change in cash,212000000.0,-141400000.0,37200000.0,188600000.0,127300000.0
Free Cash Flow,276800000.0,148700000.0,221100000.0,322900000.0,200100000.0
Net Cash/Marketcap,0.0,-0.6728,-0.5572,-0.5572,-0.5572
