Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Cash and cash equivalents,80452000.0,76642000.0,149423000.0,116499000.0,97196000.0,29956000.0,21616000.0
Short-term investments,7524000.0,52504000.0,40550000.0,23249000.0,0.0,0.0,0.0
Cash and short-term investments,87976000.0,129146000.0,189973000.0,139748000.0,97196000.0,29956000.0,21616000.0
Receivables,205683000.0,165890000.0,192064000.0,218235000.0,133267000.0,94722000.0,67335000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,300541000.0,304656000.0,391577000.0,365707000.0,237977000.0,128819000.0,91367000.0
Property Plant & Equipment Net,33487000.0,47393000.0,36246000.0,25403000.0,15196000.0,8712000.0,6933000.0
Goodwill and Intangible Assets,10174000.0,13359000.0,72509000.0,116488000.0,30380000.0,9205000.0,8668000.0
Long-term investments,7524000.0,52504000.0,0.0,0.0,0.0,0.0,0.0
Tax assets,2937000.0,5210000.0,3827000.0,8725000.0,3763000.0,0.0,0.0
Total non-current assets,59471000.0,78979000.0,128198000.0,171029000.0,58504000.0,21068000.0,16647000.0
Total assets,360012000.0,383635000.0,519775000.0,536736000.0,296481000.0,149887000.0,108014000.0
Payables,239678000.0,214103000.0,214903000.0,247967000.0,151021000.0,120198000.0,80944000.0
Short-term debt,1304000.0,3141000.0,3534000.0,0.0,105000.0,288000.0,1038000.0
Total current liabilities,240982000.0,217244000.0,218437000.0,250163000.0,154402000.0,123387000.0,84386000.0
Long-term debt,0.0,0.0,0.0,0.0,0.0,3893000.0,4177000.0
Total debt,1304000.0,3141000.0,3534000.0,0.0,105000.0,4181000.0,5215000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,4717000.0,5646000.0,5027000.0,4325000.0,2131000.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,3521000.0,1780000.0,1825000.0,8472000.0,5692000.0,10340000.0,5619000.0
Total liabilities,241999000.0,219024000.0,220262000.0,258635000.0,167729000.0,133727000.0,90005000.0
Other comprehensive income,433877000,418354000,398787000,358406000,209472000,96000.0,95000.0
Retained earnings (deficit),-315606000.0,-253784000.0,-99001000.0,-80290000.0,-80712000.0,-62039000.0,-52790000.0
Total shareholders equity,118013000.0,164611000.0,299513000.0,278101000.0,128752000.0,-36411000.0,-34562000.0
Investments,15048000.0,105008000.0,40550000.0,23249000.0,0.0,0.0,0.0
Net Debt,-79148000.0,-73501000.0,-145889000.0,-116499000.0,-97091000.0,-25775000.0,-16401000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,4141000.0,2416000.0
Other Liabilities,0.0,0.0,0.0,0.0,7635000.0,2901000.0,2404000.0
