Date,2018-12-31,2017-12-31
Depreciation & Amortization,578000.0,0.0
Stock-based compensation,430000.0,0.0
Operating Cash Flow,-1649000.0,0.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,-0.0,-0.0
Investment purchases and sales,-28000.0,0.0
Investing Cash flow,-135548000.0,61666000.0
Issuance (repayment) of debt,-0.0,-0.0
Issuance (buybacks) of shares,-28000.0,-61666000.0
Dividend payments,-0.0,-0.0
Financing Cash Flow,102866000.0,0.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,27335000.0,61666000.0
Free Cash Flow,-1649000.0,0.0
Net Cash/Marketcap,0.0,0.0
