Date,2019-02-02,2018-02-03,2017-01-28,2016-01-30,2015-01-31,2014-02-01,2013-02-01
Cash and cash equivalents,118000.0,5372000.0,20978000.0,6230000.0,112000.0,21484000.0,317000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,118000.0,5372000.0,20978000.0,6230000.0,112000.0,21484000.0,317000.0
Receivables,28896000.0,20760000.0,10336000.0,9400000.0,33797000.0,40198000.0,33933000.0
Inventories,53271000.0,48921000.0,38529000.0,36576000.0,37419000.0,33956000.0,18887000.0
Total current assets,88602000.0,81574000.0,74611000.0,60233000.0,81140000.0,103731000.0,199792000.0
Property Plant & Equipment Net,25156000.0,31608000.0,42945000.0,37769000.0,28349000.0,13615000.0,6988000.0
Goodwill and Intangible Assets,117936000.0,118534000.0,119133000.0,172792000.0,173390000.0,173989000.0,174588000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,203000.0,379000.0,4991000.0,92774000.0,99319000.0,123007000.0,1281000.0
Total non-current assets,146329000.0,152960000.0,164869000.0,303335000.0,301058000.0,310611000.0,242332000.0
Total assets,234931000.0,234534000.0,239480000.0,363568000.0,382198000.0,414342000.0,442124000.0
Payables,28787000.0,22556000.0,37022000.0,28719000.0,29118000.0,23847000.0,18478000.0
Short-term debt,2750000.0,8000000.0,5200000.0,15000000.0,23000000.0,7500000.0,0.0
Total current liabilities,45582000.0,45177000.0,50441000.0,71648000.0,64490000.0,38333000.0,190046000.0
Long-term debt,42340000.0,40682000.0,48298000.0,57615000.0,88000000.0,170000000.0,391434000.0
Total debt,45090000.0,48682000.0,53498000.0,72615000.0,111000000.0,177500000.0,391434000.0
Deferred revenue,1361000.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,2304000.0,2349000.0,2339000.0,2127000.0,4487000.0,3693000.0,14556000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,115452000.0,114967000.0,208011000.0,220557000.0,255108000.0,342458000.0,813343000.0
Total liabilities,160831000.0,159765000.0,253461000.0,285066000.0,310229000.0,380791000.0,1003389000.0
Other comprehensive income,1114695000,1113342000,1083220999.99,1012677000,1011244000,1008549000,-66000.0
Retained earnings (deficit),-1040646000.0,-1038624000.0,-1097137000.0,-934478000.0,-939577000.0,-975300000.0,-947880000.0
Total shareholders equity,74100000.0,74769000.0,-13981000.0,78502000.0,71969000.0,33551000.0,-561265000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,44972000.0,43310000.0,32520000.0,66385000.0,110888000.0,156016000.0,391117000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,146655000.0
Other Liabilities,-203000.0,-379000.0,-4991000.0,-7139000.0,-9369000.0,0.0,171568000.0
