Date,2019-05-31,2018-05-31,2017-05-31,2016-05-31,2015-05-31,2014-05-31,2013-05-31,2012-05-31
Cash and cash equivalents,686785.0,1204903.0,1225462.0,1888925.0,1088307.0,1509125.0,2469796.0,1077342.0
Short-term investments,165324.0,165324.0,165324.0,165324.0,165324.0,165324.0,165324.0,165324.0
Cash and short-term investments,852109.0,1370227.0,1390786.0,2054249.0,1253631.0,1674449.0,2635120.0,1242666.0
Receivables,1454652.0,799940.0,1060011.0,969474.0,1111570.0,1447705.0,871660.0,1200516.0
Inventories,2151090.0,2178777.0,1729121.0,1863091.0,2027372.0,1765772.0,1571221.0,1821072.0
Total current assets,4494929.0,4484029.0,4210351.0,4835068.0,4465601.0,4913174.0,5253355.0,4486630.0
Property Plant & Equipment Net,351070.0,351149.0,331857.0,380659.0,445386.0,614337.0,654620.0,584824.0
Goodwill and Intangible Assets,107209.0,98923.0,174469.0,248801.0,321304.0,382181.0,165200.0,194583.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,10000.0,41000.0,41000.0,670000.0,359000.0,85000.0,61000.0
Total non-current assets,750435.0,738553.0,807639.0,891437.0,1658852.0,1557139.0,1141532.0,1084292.0
Total assets,5245364.0,5222582.0,5017990.0,5726505.0,6124453.0,6470313.0,6394887.0,5570922.0
Payables,1037565.0,686956.0,352000.0,333485.0,392139.0,441681.0,351917.0,362447.0
Short-term debt,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,43000.0
Total current liabilities,1264394.0,896808.0,528866.0,506027.0,523933.0,555844.0,559893.0,592288.0
Long-term debt,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,500.0
Total debt,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,43500.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59938.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,0.0,10000.0,41000.0,41000.0,324000.0,87000.0,144000.0,177500.0
Total liabilities,1264394.0,896808.0,528866.0,506027.0,523933.0,555844.0,559893.0,592288.0
Other comprehensive income,22830006,20834488,19551855,19399720,18326890,18309154,18034396,17737807
Retained earnings (deficit),-19586678.0,-17193618.0,-15727790.0,-14819229.0,-13319442.0,-12988032.0,-12772372.0,-13309329.0
Total shareholders equity,3980970.0,4325774.0,4489124.0,5220478.0,5600520.0,5914469.0,5834994.0,4978634.0
Investments,165324.0,165324.0,165324.0,165324.0,165324.0,165324.0,165324.0,165324.0
Net Debt,-686785.0,-1204903.0,-1225462.0,-1888925.0,-588307.0,-1509125.0,-2469796.0,-1033842.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.0,-10000.0,-41000.0,-41000.0,-324000.0,-87000.0,-144000.0,-177500.0
