Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,653000000.0,903000000.0,825000000.0,2449000000.0,2306000000.0,1256000000.0,2660000000.0,847000000.0,3179000000.0,4835000000.0
Short-term investments,96000000.0,2275000000.0,1846000000.0,910000000.0,889000000.0,543000000.0,1716000000.0,46000000.0,509000000.0,35000000.0
Cash and short-term investments,749000000.0,3178000000.0,2671000000.0,3359000000.0,3195000000.0,1799000000.0,4376000000.0,893000000.0,3688000000.0,4870000000.0
Receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1518000000.0
Inventories,1474000000.0,1411000000.0,968000000.0,1000000000.0,1049000000.0,1135000000.0,1106000000.0,1071000000.0,1069000000.0,985000000.0
Total current assets,4186000000.0,4165000000.0,3169000000.0,5875000000.0,5548000000.0,4426000000.0,5258000000.0,3120000000.0,4757000000.0,8727000000.0
Property Plant & Equipment Net,1322000000.0,1341000000.0,1131000000.0,1140000000.0,1093000000.0,1247000000.0,1235000000.0,1133000000.0,1285000000.0,1305000000.0
Goodwill and Intangible Assets,8075000000.0,8330000000.0,7057000000.0,7759000000.0,6589000000.0,11824000000.0,12673000000.0,8187000000.0,7113000000.0,11913000000.0
Long-term investments,0.0,2363000000.0,1922000000.0,1353000000.0,1224000000.0,1501000000.0,1819000000.0,1168000000.0,4551000000.0,5150000000.0
Tax assets,349000000.0,353000000.0,511000000.0,534000000.0,972000000.0,925000000.0,912000000.0,851000000.0,10000000.0,0.0
Total non-current assets,13655000000.0,19957000000.0,17186000000.0,15305000000.0,13093000000.0,20250000000.0,20997000000.0,14219000000.0,-4757000000.0,19904000000.0
Total assets,17841000000.0,24122000000.0,20355000000.0,21180000000.0,18641000000.0,24676000000.0,26255000000.0,17339000000.0,0.0,28631000000.0
Payables,1204000000.0,1151000000.0,790000000.0,762000000.0,735000000.0,591000000.0,719000000.0,599000000.0,0.0,598000000.0
Short-term debt,1410000000.0,996000000.0,876000000.0,1226000000.0,946000000.0,978000000.0,1638000000.0,1189000000.0,530000000.0,1932000000.0
Total current liabilities,3951000000.0,3441000000.0,2534000000.0,3100000000.0,3739000000.0,3756000000.0,4489000000.0,3568000000.0,1386000000.0,6176000000.0
Long-term debt,5963000000.0,7553000000.0,7166000000.0,7481000000.0,7105000000.0,6406000000.0,6246000000.0,4850000000.0,6788000000.0,7842000000.0
Total debt,7373000000.0,8549000000.0,8042000000.0,8707000000.0,8051000000.0,7384000000.0,7884000000.0,6039000000.0,7318000000.0,9774000000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576000000.0,1177000000.0
Tax Liabilities,70000000.0,71000000.0,72000000.0,104000000.0,136000000.0,160000000.0,146000000.0,123000000.0,280000000.0,3922000000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,8146000000.0,10598000000.0,10960000000.0,11205000000.0,9122000000.0,9485000000.0,9715000000.0,7085000000.0,6798000000.0,12217000000.0
Total liabilities,12217000000.0,14138000000.0,13583000000.0,14393000000.0,12968000000.0,17740000000.0,18693000000.0,10846000000.0,-11313000000.0,18393000000.0
Other comprehensive income,0.0,1048000000,5000000,375000000,9000000,1152000000,2230000000,2687000000,10785860107,352000000.0
Retained earnings (deficit),5675000000.0,9068000000.0,7032000000.0,6626000000.0,5757000000.0,5685000000.0,5184000000.0,3654000000.0,226000000.0,850000000.0
Total shareholders equity,5624000000.0,9984000000.0,6772000000.0,6787000000.0,5673000000.0,6936000000.0,7562000000.0,6493000000.0,11313000000.0,10109000000.0
Investments,96000000.0,4638000000.0,3768000000.0,2263000000.0,2113000000.0,2044000000.0,3535000000.0,1214000000.0,5060000000.0,5185000000.0
Net Debt,6720000000.0,7646000000.0,7217000000.0,6258000000.0,5745000000.0,6128000000.0,5224000000.0,5192000000.0,4139000000.0,4904000000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1354000000.0
Other Liabilities,120000000.0,99000000.0,89000000.0,88000000.0,107000000.0,4499000000.0,4489000000.0,193000000.0,-19497000000.0,3646000000.0
