Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Depreciation & Amortization,2460000.0,2098000.0,1233000.0,575000.0,196000.0
Stock-based compensation,2304000.0,2119000.0,4654000.0,8156000.0,0.0
Operating Cash Flow,-675000.0,1331000.0,4405000.0,-969000.0,-4397000.0
Capital Expenditure,2322000.0,2895000.0,3788000.0,-2030000.0,-731000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,0.0,0.0
Investment purchases and sales,3782000.0,-474000.0,-39017000.0,0.0,0.0
Investing Cash flow,950000.0,-2049000.0,-42795000.0,-2205000.0,-780000.0
Issuance (repayment) of debt,-0.0,-0.0,-0.0,0.0,0.0
Issuance (buybacks) of shares,-6736000.0,-6490000.0,28893000.0,3500000.0,4000000.0
Dividend payments,-0.0,-0.0,-0.0,0.0,0.0
Financing Cash Flow,15000.0,-770000.0,45789000.0,3500000.0,4000000.0
Effect of forex changes on cash,-44000.0,81000.0,0.0,0.0,0.0
Net cash flow / Change in cash,246000.0,6490000.0,7897000.0,326000.0,-1177000.0
Free Cash Flow,-2997000.0,-1564000.0,617000.0,-2999000.0,-5128000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0522,0.0522
