Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31
Cash and cash equivalents,213001000.0,213000000.0,122039000.0,122000000.0,139938000.0,140000000.0,155000000.0,155000000.0,139000000.0,139000000.0,154000000.0
Short-term investments,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,6000000.0,6000000.0,0.0
Cash and short-term investments,213001000.0,000000.0,122039000.0,000000.0,139938000.0,000000.0,155000000.0,000000.0,145000000.0,6000000.0,154000000.0
Receivables,209834000.0,210000000.0,206524000.0,207000000.0,218224000.0,218000000.0,206000000.0,206000000.0,184000000.0,184000000.0,177000000.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total current assets,536440000.0,2393000000.0,438287000.0,2420000000.0,442251000.0,2392000000.0,465000000.0,2464000000.0,412000000.0,2480000000.0,2622000000.0
Property Plant & Equipment Net,495699000.0,496000000.0,431741000.0,432000000.0,431046000.0,431000000.0,460000000.0,460000000.0,414000000.0,414000000.0,428000000.0
Goodwill and Intangible Assets,1396863000.0,1821000000,1402687000.0,1899000000,1393048000.0,1905000000,1381000000.0,1916000000,1311000000.0,1930000000,1971000000.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Tax assets,21229000.0,21000000.0,12796000.0,13000000.0,9213000.0,9000000.0,10000000.0,10000000.0,9000000.0,9000000.0,6000000.0
Total non-current assets,2392617000.0,2470000000.0,2420212000.0,2414000000.0,2391678000.0,2593000000.0,2464000000.0,2707000000.0,2480000000.0,2694000000.0,3718000000.0
Total assets,2929057000.0,2929000000.0,2858499000.0,2858000000.0,2833929000.0,2834000000.0,2929000000.0,2929000000.0,2892000000.0,2892000000.0,3088000000.0
Payables,65936000.0,66000000.0,73278000.0,73000000.0,59219000.0,59000000.0,74000000.0,74000000.0,73000000.0,73000000.0,72000000.0
Short-term debt,57497000.0,57000000.0,64291000.0,64000000.0,63558000.0,64000000.0,74000000.0,74000000.0,56000000.0,56000000.0,45000000.0
Total current liabilities,629699000.0,630000000.0,646637000.0,647000000.0,601337000.0,601000000.0,579000000.0,579000000.0,555000000.0,555000000.0,681000000.0
Long-term debt,2194537000.0,2195000000.0,2165722000.0,2166000000.0,2281210000.0,2281000000.0,2387000000.0,2387000000.0,2384000000.0,2384000000.0,3528000000.0
Total debt,2252034000.0,2195000000.0,2230013000.0,2166000000.0,2344768000.0,2281000000.0,2461000000.0,2387000000.0,2440000000.0,2384000000.0,3573000000.0
Deferred revenue,55221000.0,66000000.0,48096000.0,64000000.0,42233000.0,54000000.0,36000000.0,48000000.0,27000000.0,36000000.0,0.0
Tax Liabilities,16996000.0,37000000.0,32986000.0,35000000.0,17560000.0,59000000.0,16000000.0,60000000.0,16000000.0,54000000.0,42000000.0
Deposit Liabilities,11224000.0,,15774000.0,,11632000.0,,12000000.0,,9000000.0,,0.0
Total non-current liabilities,2459178000.0,2470000000.0,2404183000.0,2414000000.0,2568374000.0,2593000000.0,2673000000.0,2707000000.0,2675000000.0,2694000000.0,3718000000.0
Total liabilities,3099459000.0,3099000000.0,3060800000.0,3061000000.0,3193857000.0,3194000000.0,3286000000.0,3286000000.0,3249000000.0,3249000000.0,4399000000.0
Other comprehensive income,2652992000,-175000000.0,2675378000,-156000000.0,2694670000,-190000000.0,2702999999.9975,-178000000.0,2715000000,-174000000.0,-82000000.0
Retained earnings (deficit),-2648761000.0,-2649000000.0,-2722375000.0,-2722000000.0,-2864838000.0,-2865000000.0,-2882000000.0,-2882000000.0,-2898000000.0,-2898000000.0,-2984000000.0
Total shareholders equity,-170402000.0,-170000000.0,-202301000.0,-202000000.0,-359928000.0,-360000000.0,-357000000.0,-357000000.0,-357000000.0,-357000000.0,-1330000000.0
Investments,0.0,,0.0,,0.0,,0.0,,6000000.0,,0.0
Net Debt,2039033000.0,2039000000,2107974000.0,2108000000,2204830000.0,2205000000,2306000000.0,2306000000,2301000000.0,2301000000,3419000000.0
Other Assets,0.0,107000000,0.0,137000000,0.0,94000000,0.0,120000000,0.0,169000000,135000000.0
Other Liabilities,10582000.0,123000000,9980000.0,116000000,24146000.0,135000000,34000000.0,126000000,19000000.0,133000000,564000000.0
