Date,2019-03-31,2018-03-31,2017-03-31,2016-03-31,2015-03-31,2014-03-31,2013-03-31,2012-03-31,2011-03-31
Cash and cash equivalents,13100300.0,10378300.0,2921300.0,428500.0,70000.0,0.0,638100.0,81000.0,139300.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,13100300.0,10378300.0,2921300.0,428500.0,70000.0,0.0,638100.0,81000.0,139300.0
Receivables,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,106200.0,42200.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,13651200.0,11023100.0,3377900.0,855300.0,105700.0,40500.0,671800.0,238100.0,204800.0
Property, Plant & Equipment Net,312700.0,207400.0,286500.0,87600.0,117100.0,176300.0,180700.0,74500.0,87700.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,360500.0,255200.0,334300.0,134500.0,164000.0,223200.0,209700.0,103500.0,118800.0
Total assets,14011700.0,11278300.0,3712200.0,989800.0,269700.0,263700.0,881500.0,341600.0,323600.0
Payables,1055000.0,1195700.0,867300.0,936000.0,2251100.0,2443900.0,1353600.0,1750800.0,2907700.0
Short-term debt,60300.0,56500.0,57200.0,44700.0,13930500.0,2132600.0,717800.0,761200.0,6156300.0
Total current liabilities,2800900.0,1458500.0,1367500.0,1794700.0,17388100.0,5205700.0,2414300.0,3182500.0,10825700.0
Long-term debt,6300.0,9300.0,11900.0,27200.0,332900.0,4786600.0,4629600.0,2807700.0,5647500.0
Total debt,66600.0,65800.0,69100.0,71900.0,14263400.0,6919200.0,5347400.0,3568900.0,11803800.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13200.0,78800.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,4135600.0,2903200.0,1728900.0,2172300.0,3424400.0,7857900.0,11023600.0,2864700.0,7847600.0
Total liabilities,6936500.0,4361700.0,3096400.0,3967000.0,20812500.0,13063600.0,13437900.0,6047200.0,18673300.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-181133400.0,-156543800.0,-141998700.0,-131743200.0,-84522700.0,-70636900.0,-67669200.0,-54782500.0,-42573000.0
Total shareholders equity,7075200.0,6916600.0,615800.0,-2977200.0,-20542800.0,-12799900.0,-12556400.0,-5705600.0,-32884500.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,-13033700.0,-10312500.0,-2852200.0,-356600.0,14193400.0,6919200.0,4709300.0,3487900.0,11664500.0
Other Assets,250900.0,644800.0,456600.0,426800.0,35700.0,40500.0,33700.0,50900.0,23300.0
Other Liabilities,1685600.0,206300.0,443000.0,814000.0,1206500.0,629200.0,342900.0,670500.0,1761700.0
