Date,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30
Cash and cash equivalents,1117901000.0,1256620000.0,1272114000.0,1471408000.0,26801000.0,15966000.0,10690000.0
Short-term investments,108416000.0,0.0,0.0,0.0,30836000.0,29683000.0,22926000.0
Cash and short-term investments,1226317000.0,1256620000.0,1272114000.0,1471408000.0,57637000.0,45649000.0,33616000.0
Receivables,98339000.0,101292000.0,104799000.0,81787000.0,52061000.0,52377000.0,42830000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,1413109000.0,1415669000.0,1449729000.0,1603853000.0,168635000.0,157919000.0,127346000.0
Property, Plant & Equipment Net,1380392000.0,1253671000.0,1159271000.0,1160609000.0,1188693000.0,1231300000.0,1093169000.0
Goodwill and Intangible Assets,789704000.0,812304000.0,803912000.0,459745000.0,466340000.0,470279000.0,472004000.0
Long-term investments,84560000.0,209951000.0,242287000.0,263546000.0,249394000.0,225632000.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,2350442000.0,2320504000.0,2263024000.0,1940097000.0,1980307000.0,1979272000.0,1605517000.0
Total assets,3763551000.0,3736173000.0,3712753000.0,3543950000.0,2148942000.0,2137191000.0,1732863000.0
Payables,111441000.0,132127000.0,41660000.0,29210000.0,4895000.0,9361000.0,5835000.0
Short-term debt,6042000.0,4365000.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,759784000.0,765505000.0,762042000.0,614815000.0,533718000.0,549036000.0,465407000.0
Long-term debt,48556000.0,101335000.0,105433000.0,0.0,0.0,0.0,0.0
Total debt,54598000.0,105700000.0,105433000.0,0.0,0.0,0.0,0.0
Deferred revenue,293410000.0,324749000.0,390180000.0,332416000.0,311317000.0,291865000.0,229422000.0
Tax Liabilities,79098000.0,78968000.0,196436000.0,194583000.0,206944000.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,297380000.0,339949000.0,450220000.0,342714000.0,391949000.0,396952000.0,350692000.0
Total liabilities,1057164000.0,1105454000.0,1212262000.0,957529000.0,925667000.0,945988000.0,816099000.0
Other comprehensive income,-46923000.0,-46918000.0,-34115000.0,-42611000.0,-40215000.0,-36015000.0,-25216000.0
Retained earnings (deficit),29003000.0,-11059000.0,-148410000.0,-75687000.0,0.0,,
Total shareholders equity,2620500000.0,2536483000.0,2408163000.0,2586421000.0,1223275000.0,1191203000.0,916764000.0
Investments,192976000.0,209951000.0,242287000.0,263546000.0,280230000.0,255315000.0,22926000.0
Net Debt,-1171719000.0,-1150920000.0,-1166681000.0,-1471408000.0,-57637000.0,-45649000.0,-33616000.0
Other Assets,88453000.0,57757000.0,72816000.0,50658000.0,58937000.0,59893000.0,50900000.0
Other Liabilities,642301000.0,629013000.0,720382000.0,585605000.0,528823000.0,539675000.0,459572000.0
