Date,2019-03-31,2018-03-31
Cash and cash equivalents,135265.0,482676.0
Short-term investments,0.0,0.0
Cash and short-term investments,135265.0,482676.0
Receivables,0.0,0.0
Inventories,0.0,0.0
Total current assets,220654.0,775533.0
Property Plant & Equipment Net,13734.0,17393.0
Goodwill and Intangible Assets,0.0,0.0
Long-term investments,290392032.0,311919253.0
Tax assets,216000.0,0.0
Total non-current assets,290621766.0,311936646.0
Total assets,290842420.0,312712179.0
Payables,5214351.0,2818894.0
Short-term debt,3222373.0,0.0
Total current liabilities,8499449.0,2900119.0
Long-term debt,3222373.0,0.0
Total debt,6444746.0,0.0
Deferred revenue,0.0,0.0
Tax Liabilities,62725.0,81225.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,3438373.0,0.0
Total liabilities,285842419.0,307712178.0
Other comprehensive income,6580407,7570769
Retained earnings (deficit),-1589439.0,-2579238.0
Total shareholders equity,5000001.0,5000001.0
Investments,290392032.0,311919253.0
Net Debt,6309481.0,-482676.0
Other Assets,0.0,0.0
Other Liabilities,273904597.0,304812059.0
