Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Cash and cash equivalents,48668000.0,45029000.0,42780000.0,70241000.0,191602000.0,11167585.0,1632084.0
Short-term investments,49304000.0,60057000.0,70632000.0,23820000.0,0.0,0.0,0.0
Cash and short-term investments,97972000.0,105086000.0,113412000.0,94061000.0,191602000.0,11167585.0,1632084.0
Receivables,909000.0,320000.0,334000.0,440000.0,298000.0,745541.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,95295000.0,101650000.0,105610000.0,96890000.0,193222000.0,12167194.0,2477662.0
Property, Plant & Equipment Net,20878000.0,25942000.0,16504000.0,6882000.0,2427000.0,2289919.0,2510829.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,1368000.0,0.0,56304000.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,26206000.0,33878000.0,26427000.0,63516000.0,2572000.0,2774444.0,2708567.0
Total assets,121501000.0,135528000.0,132037000.0,160406000.0,195794000.0,14941638.0,5186229.0
Payables,3774000.0,3287000.0,3623000.0,2106000.0,1209000.0,549594.0,550847.0
Short-term debt,40000.0,31000.0,1808000.0,13000.0,0.0,400000.0,89955.0
Total current liabilities,15804000.0,12156000.0,15113000.0,7445000.0,3636000.0,2204441.0,2221918.0
Long-term debt,35923000.0,35077000.0,18577000.0,118000.0,0.0,400000.0,359822.0
Total debt,35963000.0,35108000.0,20385000.0,131000.0,0.0,800000.0,449777.0
Deferred revenue,2983000.0,4103000.0,0.0,0.0,13000.0,0.0,1038763.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,37219000.0,38724000.0,20350000.0,944000.0,522000.0,963208.0,779778.0
Total liabilities,53023000.0,50880000.0,35463000.0,8389000.0,4158000.0,3167649.0,3001696.0
Other comprehensive income,-144000.0,-46000.0,17000.0,-302000.0,0.0,0.0,0.0
Retained earnings (deficit),-420548000.0,-322512000.0,-230733000.0,-161492000.0,-112944000.0,-28978824.0,-21010073.0
Total shareholders equity,68478000.0,84648000.0,96574000.0,152017000.0,191636000.0,-28151897.0,-19473440.0
Investments,49304000.0,61425000.0,70632000.0,80124000.0,0.0,0.0,0.0
Net Debt,-62009000.0,-69978000.0,-93027000.0,-93930000.0,-191602000.0,-10367585.0,-1182307.0
Other Assets,-3586000.0,-3756000.0,-8136000.0,2389000.0,1322000.0,254068.0,845578.0
Other Liabilities,11990000.0,8838000.0,9682000.0,5326000.0,2427000.0,1254847.0,1581116.0
