Date,2018-12-29,2017-12-30,2016-12-31,2016-01-02,2015-01-03,2013-12-28,2012-12-29,2011-12-31,2011-01-01,2010-01-02
Cash and cash equivalents,696000.0,3066000.0,491000.0,1212000.0,6642000.0,9476000.0,14367000.0,28616000.0,24887000.0,11126000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,696000.0,3066000.0,491000.0,1212000.0,6642000.0,9476000.0,14367000.0,28616000.0,24887000.0,11126000.0
Receivables,54904000.0,49082000.0,49465000.0,58427000.0,62984000.0,59679000.0,53716000.0,42060000.0,41213000.0,44231000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,58811000.0,55639000.0,53071000.0,64529000.0,72579000.0,72704000.0,70345000.0,73229000.0,68587000.0,61041000.0
Property, Plant & Equipment Net,3485000.0,3446000.0,4052000.0,4698000.0,3297000.0,2291000.0,1880000.0,2535000.0,3295000.0,4533000.0
Goodwill and Intangible Assets,18275000.0,11790000.0,12496000.0,11882000.0,10417000.0,9761000.0,9877000.0,7529000.0,7644000.0,7783000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,725000.0,2189000.0,0.0,609000.0,1565000.0,3442000.0,2743000.0,3351000.0,4130000.0,4533000.0
Total non-current assets,22699000.0,17640000.0,16760000.0,16807000.0,14694000.0,13820000.0,14203000.0,12949000.0,14425000.0,16328000.0
Total assets,81510000.0,73279000.0,69831000.0,81336000.0,87273000.0,86524000.0,84548000.0,86178000.0,83012000.0,77369000.0
Payables,12475000.0,13295000.0,14930000.0,16858000.0,14351000.0,13576000.0,18321000.0,8137000.0,6004000.0,6934000.0
Short-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,23188000.0,22188000.0,23713000.0,26629000.0,23633000.0,24739000.0,25063000.0,14290000.0,13159000.0,13700000.0
Long-term debt,27540000.0,27279000.0,14311000.0,21000000.0,20000000.0,0.0,0.0,0.0,0.0,0.0
Total debt,27540000.0,27279000.0,14311000.0,21000000.0,20000000.0,0.0,0.0,0.0,0.0,0.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,495000.0,803000.0,919000.0,869000.0,1020000.0,536000.0,192000.0,311000.0,39000.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,31123000.0,29060000.0,14863000.0,22504000.0,20775000.0,407000.0,713000.0,227000.0,245000.0,366000.0
Total liabilities,54311000.0,51248000.0,38576000.0,49133000.0,44408000.0,25146000.0,25776000.0,14517000.0,13404000.0,14066000.0
Other comprehensive income,-2755000.0,-2395000.0,-2578000.0,-2845000.0,91000.0,815000.0,1370000.0,1306000.0,1415000.0,1267000.0
Retained earnings (deficit),-63163000.0,-65878000.0,-67888000.0,-69646000.0,-62933000.0,-43237000.0,-45259000.0,-35801000.0,-40079000.0,-45874000.0
Total shareholders equity,27199000.0,22031000.0,31255000.0,32203000.0,42865000.0,61378000.0,58772000.0,71661000.0,69608000.0,63303000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,26844000.0,24213000.0,13820000.0,19788000.0,13358000.0,-9476000.0,-14367000.0,-28616000.0,-24887000.0,-11126000.0
Other Assets,3211000.0,3491000.0,3115000.0,4890000.0,2953000.0,3549000.0,2262000.0,2553000.0,2487000.0,5684000.0
Other Liabilities,10713000.0,8893000.0,8783000.0,9771000.0,9282000.0,11163000.0,6742000.0,6153000.0,7155000.0,6766000.0
