date,,2020-09-26_FY,2019-09-28_FY,2018-09-29_FY,2017-09-30_FY,2016-09-24_FY,2015-09-26_FY,2014-09-27_FY,2013-09-28_FY,2012-09-29_FY,2011-09-24_FY,2010-09-25_FY,2009-09-26_FY,2008-09-27_FY,2007-09-29_FY,2006-09-30_FY,2005-09-24_FY,2004-09-25_FY,2003-09-27_FY,2002-09-28_FY,2001-09-29_FY,2000-09-30_FY,1999-09-25_FY,1998-09-25_FY,1997-09-26_FY,1996-09-27_FY,1995-09-29_FY,1994-09-30_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY,1989-09-30_FY
,purchasesOfInvestments,-115148000000.0,-40631000000.0,-73227000000.0,-159881000000.0,-31110000000.0,-35253000000.0,-45000000000.0,-22860000000.0,-151232000000.0,-102317000000.0,-57811000000.0,-46724000000.0,-22965000000.0,-11719000000.0,-7280000000.0,-11470000000.0,-3270000000.0,-2648000000.0,-4144000000.0,-4268000000.0,-4499000000.0,0.0,0.0,0.0,0.0,0.0,-312073000.0,-1432000000.0,-2121300000.0,-610700000.0,-1424400000.0,-984700000.0
,salesMaturitiesOfInvestments,120483000000.0,98724000000.0,104072000000.0,126339000000.0,21258000000.0,14538000000.0,18810000000.0,20317000000.0,13035000000.0,20437000000.0,46718000000.0,0.0,0.0,0.0,8312000000.0,0.0,0.0,0.0,0.0,0.0,3331000000.0,0.0,0.0,0.0,0.0,0.0,473595000.0,2153100000.0,1473000000.0,944500000.0,1172700000.0,787400000.0
,otherInvestingActivites,-791000000.0,-1078000000.0,-745000000.0,220000000.0,-23094000000.0,-23969000000.0,16947000000.0,-22570000000.0,-52617000000.0,-56352000000.0,-118000000.0,0.0,0.0,0.0,-58000000.0,0.0,0.0,0.0,0.0,0.0,-38000000.0,0.0,0.0,0.0,0.0,0.0,-3737000.0,-15200000.0,-69400000.0,-57200000.0,-97500000.0,33200000.0
,netCashUsedForInvestingActivites,-4289000000.0,45896000000.0,16066000000.0,-46446000000.0,-45977000000.0,-56274000000.0,-22579000000.0,-33774000000.0,-48227000000.0,-40419000000.0,-13854000000.0,-17434000000.0,-8189000000.0,-3249000000.0,357000000.0,-2556000000.0,-1488000000.0,828000000.0,-252000000.0,892000000.0,-930000000.0,-964000000.0,-543000000.0,-533000000.0,-119000000.0,-402000000.0,-1802000.0,492800000.0,-912600000.0,58300000.0,-573500000.0,-403100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-12629000000.0,-8805000000.0,-6500000000.0,-3500000000.0,-2500000000.0,-1499000000.0,-1158000000.0,-1082000000.0,-1226000000.0,-520000000.0,-406000000.0,2997000000.0,1267000000.0,863000000.0,194000000.0,17000000.0,-300000000.0,45000000.0,11000000.0,42000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,880000000.0,781000000.0,669000000.0,555000000.0,495000000.0,543000000.0,730000000.0,530000000.0,665000000.0,831000000.0,912000000.0,475000000.0,483000000.0,365000000.0,318000000.0,543000000.0,427000000.0,53000000.0,105000000.0,42000000.0,85000000.0,0.0,0.0,0.0,0.0,0.0,82081000.0,85300000.0,157200000.0,257700000.0,103500000.0,96000000.0
,commonStockRepurchased,-72358000000.0,-66897000000.0,-72738000000.0,-32900000000.0,-29227000000.0,-34710000000.0,-44270000000.0,-22330000000.0,665000000.0,831000000.0,912000000.0,475000000.0,483000000.0,365000000.0,-355000000.0,543000000.0,427000000.0,27000000.0,105000000.0,42000000.0,-116000000.0,11000000.0,41000000.0,184000000.0,39000000.0,86000000.0,82000000.0,-273500000.0,-212600000.0,-184700000.0,-569600000.0,-12900000.0
,dividendsPaid,-14081000000.0,-14119000000.0,-13712000000.0,-12769000000.0,-12150000000.0,-11561000000.0,-11126000000.0,-10564000000.0,-2488000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14000000.0,-58000000.0,-56572000.0,-55600000.0,-57200000.0,-56500000.0,-53800000.0,-50300000.0
,otherFinancingActivites,-3760000000.0,-2922000000.0,-2527000000.0,-1247000000.0,23394000000.0,28555000000.0,17847000000.0,16515000000.0,10871000000.0,10428000000.0,11606000000.0,0.0,0.0,0.0,361000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48000000.0,0.0,100000.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-86820000000.0,-90976000000.0,-87876000000.0,-17347000000.0,-20890000000.0,-17716000000.0,-37549000000.0,-16379000000.0,-1698000000.0,1444000000.0,1257000000.0,663000000.0,1116000000.0,739000000.0,324000000.0,543000000.0,127000000.0,27000000.0,105000000.0,42000000.0,-31000000.0,11000000.0,19000000.0,23000000.0,396000000.0,195000000.0,-208118000.0,346900000.0,-76700000.0,42500000.0,-454000000.0,-38300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-10435000000.0,24311000000.0,5624000000.0,-195000000.0,-636000000.0,7276000000.0,-415000000.0,3513000000.0,931000000.0,-1446000000.0,5998000000.0,-6612000000.0,2523000000.0,2960000000.0,2901000000.0,522000000.0,-427000000.0,1144000000.0,-58000000.0,1119000000.0,-135000000.0,-155000000.0,251000000.0,-322000000.0,796000000.0,-447000000.0,527075000.0,0.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,39789000000.0,50224000000.0,25913000000.0,20289000000.0,20484000000.0,21120000000.0,13844000000.0,14259000000.0,10746000000.0,9815000000.0,11261000000.0,5263000000.0,11875000000.0,9352000000.0,6392000000.0,3491000000.0,2969000000.0,3396000000.0,2252000000.0,2310000000.0,1191000000.0,1326000000.0,1481000000.0,1230000000.0,1552000000.0,756000000.0,1203488000.0,0.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,50224000000.0,25913000000.0,20289000000.0,20484000000.0,21120000000.0,13844000000.0,14259000000.0,10746000000.0,9815000000.0,11261000000.0,5263000000.0,11875000000.0,9352000000.0,6392000000.0,3491000000.0,2969000000.0,3396000000.0,2252000000.0,2310000000.0,1191000000.0,1326000000.0,1481000000.0,1230000000.0,1552000000.0,756000000.0,1203000000.0,676413000.0,498600000.0,604100000.0,374700000.0,438300000.0,372400000.0
,operatingCashFlow,80674000000.0,69391000000.0,77434000000.0,63598000000.0,66231000000.0,81266000000.0,59713000000.0,53666000000.0,50856000000.0,37529000000.0,18595000000.0,10159000000.0,9596000000.0,5470000000.0,2220000000.0,2535000000.0,934000000.0,289000000.0,90000000.0,185000000.0,826000000.0,798000000.0,775000000.0,188000000.0,519000000.0,-240000000.0,736995000.0,-661800000.0,883700000.0,128700000.0,963900000.0,507300000.0
,capitalExpenditure,-7309000000.0,-10495000000.0,-13313000000.0,-12795000000.0,-12734000000.0,-11247000000.0,-9571000000.0,-8165000000.0,-8295000000.0,-4260000000.0,-2005000000.0,-1144000000.0,-1091000000.0,-735000000.0,-657000000.0,-260000000.0,-176000000.0,-164000000.0,-174000000.0,-232000000.0,-107000000.0,-47000000.0,-56000000.0,-437000000.0,-67000000.0,-159000000.0,-159587000.0,-213100000.0,-194900000.0,-218300000.0,-224300000.0,-239000000.0
,freeCashFlow,73365000000.0,58896000000.0,64121000000.0,50803000000.0,53497000000.0,69778000000.0,49900000000.0,44590000000.0,41454000000.0,30077000000.0,16474000000.0,8946000000.0,8397000000.0,4484000000.0,1563000000.0,2275000000.0,758000000.0,125000000.0,-84000000.0,-47000000.0,719000000.0,751000000.0,719000000.0,-249000000.0,452000000.0,-399000000.0,577408000.0,-874900000.0,688800000.0,-89600000.0,739600000.0,268300000.0
