Date,2019-02-02,2018-02-03,2017-01-28,2016-01-30,2015-01-31,2014-02-01,2013-02-02,2012-01-28,2011-01-29,2010-01-30
Cash and cash equivalents,95542000.0,90908000.0,88369000.0,61432000.0,69293000.0,69723000.0,60933000.0,50787000.0,77392000.0,87296000.0
Short-term investments,16921000.0,16562000.0,18890000.0,19489000.0,22189000.0,21240000.0,21955000.0,21534000.0,0.0,0.0
Cash and short-term investments,95542000.0,90908000.0,88369000.0,61432000.0,69293000.0,69723000.0,60933000.0,50787000.0,77392000.0,87296000.0
Receivables,9879000.0,12528000.0,11837000.0,8208000.0,7406000.0,7026000.0,8216000.0,7269000.0,9756000.0,9447000.0
Inventories,82803000.0,84498000.0,78044000.0,87777000.0,93791000.0,83479000.0,80198000.0,81328000.0,82062000.0,87059000.0
Total current assets,206963000.0,206420000.0,197964000.0,177764000.0,193800000.0,182748000.0,172256000.0,161886000.0,191700000.0,210935000.0
Property Plant & Equipment Net,63791000.0,77906000.0,87070000.0,88831000.0,84374000.0,83553000.0,97960000.0,115280000.0,144561000.0,187079000.0
Goodwill and Intangible Assets,16813000.0,17125000.0,14879000.0,14879000.0,14879000.0,14879000.0,14879000.0,14879000.0,14879000.0,14879000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,115000.0,144000.0,47000.0,6660000.0,6501000.0,6755000.0,4361000.0,3889000.0,25637000.0
Total non-current assets,81915000.0,96536000.0,103624000.0,105696000.0,108080000.0,106005000.0,120424000.0,135470000.0,163510000.0,225592000.0
Total assets,288878000.0,302956000.0,301588000.0,283460000.0,301880000.0,288753000.0,292680000.0,297356000.0,355210000.0,436527000.0
Payables,77050000.0,70089000.0,68068000.0,82225000.0,86481000.0,75874000.0,74410000.0,72297000.0,73611000.0,72019000.0
Short-term debt,0.0,841000.0,841000.0,841000.0,1000000.0,0.0,0.0,0.0,7500000.0,6000000.0
Total current liabilities,146010000.0,141635000.0,138377000.0,135729000.0,147269000.0,130330000.0,133312000.0,134868000.0,148935000.0,142981000.0
Long-term debt,25090000.0,10644000.0,11485000.0,12326000.0,13750000.0,39925000.0,48834000.0,57127000.0,0.0,7500000.0
Total debt,25090000.0,11485000.0,12326000.0,13167000.0,14750000.0,39925000.0,48834000.0,57127000.0,7500000.0,13500000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,375000.0,28000.0,174000.0,239000.0,710000.0,1075000.0,989000.0,3064000.0,3622000.0,5765000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,81345000.0,74460000.0,84042000.0,53960000.0,61912000.0,91634000.0,108705000.0,123871000.0,72438000.0,85382000.0
Total liabilities,202265000.0,216095000.0,222419000.0,189689000.0,202521000.0,175538000.0,186428000.0,197251000.0,221373000.0,228363000.0
Other comprehensive income,179935000,178143000,176931000,174798000,171212000,167109000,163505000,159543000,-2063000.0,-1671000.0
Retained earnings (deficit),-92450000.0,-90797000.0,-96472000.0,-79181000.0,-69112000.0,-52227000.0,-54621000.0,-56721000.0,-17784000.0,58677000.0
Total shareholders equity,86613000.0,86861000.0,79169000.0,93771000.0,99359000.0,113215000.0,106252000.0,100105000.0,133837000.0,208164000.0
Investments,16921000.0,16562000.0,18890000.0,19489000.0,22189000.0,21240000.0,21955000.0,21534000.0,0.0,0.0
Net Debt,-70452000.0,-79423000.0,-76043000.0,-48265000.0,-54543000.0,-29798000.0,-12099000.0,6340000.0,-69892000.0,-73796000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22490000.0,27133000.0
Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67824000.0,64962000.0
