Date,2018-08,2017-08,2016-08,2015-08,2014-08
Cash and cash equivalents,451000000.0,181000000.0,279000000.0,954000000.0,2133000000.0
Short-term investments,,,,,
Cash and short-term investments,,,,,
Receivables,1579000000.0,1234000000.0,1805000000.0,1793000000.0,2154000000.0
Inventories,2769000000.0,2577000000.0,2371000000.0,2652000000.0,2760000000.0
Total current assets,9688000000.0,10359000000.0,10383000000.0,7220000000.0,5749000000.0
Property, Plant & Equipment Net,5142000000.0,5356000000.0,5488000000.0,5193000000.0,4031000000.0
Goodwill and Intangible Assets,167000000,187000000,205000000,201000000,214000000
Long-term investments,3712000000.0,3751000000.0,3796000000.0,1002000000.0,923000000.0
Tax assets,,,,,
Total non-current assets,2291000000.0,2648000000.0,2945000000.0,2314000000.0,2514000000.0
Total assets,16381000000.0,15974000000.0,17318000000.0,15228000000.0,15147000000.0
Payables,1844000000.0,1951000000.0,1819000000.0,1690000000.0,2208000000.0
Short-term debt,2440000000.0,2145000000.0,2946000000.0,1336000000.0,1316000000.0
Total current liabilities,5934000000.0,5433000000.0,6521000000.0,5257000000.0,6184000000.0
Long-term debt,1763000000.0,2023000000.0,2088000000.0,1261000000.0,1300000000.0
Total debt,1763000000.0,2023000000.0,2088000000.0,1261000000.0,1300000000.0
Deferred revenue,546000000.0,571000000.0,622000000.0,586000000.0,868000000.0
Tax Liabilities,183000000.0,333000000.0,488000000.0,581000000.0,567000000.0
Deposit Liabilities,,,,,
Total non-current liabilities,2291000000.0,2648000000.0,2945000000.0,2314000000.0,2514000000.0
Total liabilities,8226000000.0,8081000000.0,9466000000.0,7570000000.0,8698000000.0
Other comprehensive income,4410000000.0,4158000000.0,4025000000.0,3886000000.0,3660000000.0
Retained earnings (deficit),1482000000.0,1471000000.0,1582000000.0,1605000000.0,1599000000.0
Total shareholders equity,8156000000.0,7893000000.0,7852000000.0,7658000000.0,6449000000.0
Investments,3712000000.0,3751000000.0,3796000000.0,1002000000.0,923000000.0
Net Debt,3752000000,3987000000,4755000000,1643000000,483000000
Other Assets,2123000000,2231000000,2716000000,2769000000,2299000000
Other Liabilities,929000000,607000000,1066000000,1591000000,1874000000
