Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,104147000.0,89879000.0,88818000.0,81053000.0,64731000.0,68492000.0,32547000.0,16909000.0,25766000.0,27409000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,104147000.0,89879000.0,88818000.0,81053000.0,64731000.0,68492000.0,32547000.0,16909000.0,25766000.0,27409000.0
Receivables,202139000.0,208358000.0,195225000.0,188297000.0,189484000.0,165629000.0,154197000.0,150676000.0,116266000.0,108793000.0
Inventories,94090000.0,87221000.0,77082000.0,75099000.0,77708000.0,71557000.0,72471000.0,74758000.0,60841000.0,50040000.0
Total current assets,418510000.0,406586000.0,376468000.0,358031000.0,351518000.0,328847000.0,277810000.0,259549000.0,215482000.0,199174000.0
Property, Plant & Equipment Net,83923000.0,86704000.0,85734000.0,87619000.0,85763000.0,85488000.0,85112000.0,82916000.0,76535000.0,67426000.0
Goodwill and Intangible Assets,146915000.0,157637000.0,153875000.0,152398000.0,148341000.0,89423000.0,91978000.0,89935000.0,76788000.0,52094000.0
Long-term investments,21316000.0,25690000.0,22817000.0,20354000.0,21751000.0,19397000.0,16603000.0,14073000.0,9218000.0,8824000.0
Tax assets,6946000.0,15460000.0,24382000.0,30107000.0,32778000.0,32550000.0,37074000.0,36161000.0,33470000.0,33760000.0
Total non-current assets,291155000.0,315540000.0,315560000.0,322696000.0,314008000.0,255299000.0,258824000.0,251603000.0,233948000.0,196118000.0
Total assets,709665000.0,722126000.0,692028000.0,680727000.0,665526000.0,584146000.0,536634000.0,511152000.0,449430000.0,395292000.0
Payables,92754000.0,93008000.0,77583000.0,67291000.0,74987000.0,72281000.0,67586000.0,65026000.0,61192000.0,58389000.0
Short-term debt,670000.0,5736000.0,707000.0,662000.0,403000.0,1395000.0,1468000.0,636000.0,890000.0,2431000.0
Total current liabilities,151470000.0,154743000.0,127411000.0,124514000.0,124901000.0,130856000.0,107792000.0,106649000.0,101191000.0,100180000.0
Long-term debt,35934000.0,61068000.0,65769000.0,81439000.0,75328000.0,17321000.0,30000000.0,46701000.0,73855000.0,63685000.0
Total debt,36604000.0,66804000.0,66476000.0,82101000.0,75731000.0,18716000.0,31468000.0,47337000.0,74745000.0,66116000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,10003000.0,9653000.0,12008000.0,10258000.0,9316000.0,7786000.0,6636000.0,7332000.0,6289000.0,5426000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,121826000.0,157765000.0,152011000.0,174970000.0,175490000.0,108594000.0,139166000.0,143146000.0,161140000.0,138817000.0
Total liabilities,273296000.0,312508000.0,279422000.0,299484000.0,300391000.0,239450000.0,246958000.0,249795000.0,262331000.0,238997000.0
Other comprehensive income,-80715000.0,-65100000.0,-87407000.0,-73316000.0,-54406000.0,-34700000.0,-41855000.0,-28967000.0,-13736000.0,-10439000.0
Retained earnings (deficit),405125000.0,365936000.0,364414000.0,326740000.0,299524000.0,258285000.0,215390000.0,180710000.0,144347000.0,123140000.0
Total shareholders equity,435052000.0,407672000.0,402760000.0,373045000.0,357475000.0,335819000.0,281100000.0,254380000.0,180378000.0,151314000.0
Investments,21316000.0,25690000.0,22817000.0,20354000.0,21751000.0,19397000.0,16603000.0,14073000.0,9218000.0,8824000.0
Net Debt,-67543000.0,-23075000.0,-22342000.0,1048000.0,11000000.0,-49776000.0,-1079000.0,30428000.0,48979000.0,38707000.0
Other Assets,18134000.0,21128000.0,15343000.0,13582000.0,19595000.0,23169000.0,18595000.0,17206000.0,12609000.0,12932000.0
Other Liabilities,58046000.0,55999000.0,49121000.0,56561000.0,49511000.0,57180000.0,38738000.0,40987000.0,39109000.0,39360000.0
